hour_of_day,amount_log,errorBalanceOrig,errorBalanceDest,type_TRANSFER,type_CASH_OUT,amount,actual_isFraud,predicted_probability,type,risk_level,recommended_action,explanation_text
18,9.551072095517688,-14058.76,14058.76,0,0,14058.76,0.0,3.8403434e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,12.606308504918465,-286600.32,0.0,0,1,298434.32,0.0,0.0005850716,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.1%."
18,9.520923208714148,-13085.2,13641.2,0,0,13641.2,0.0,3.8403434e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,10.302806142779543,0.0,0.0,0,1,29815.17,0.0,0.06846938,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 6.8%."
18,9.574955707400504,0.0,0.0,0,1,14398.6,0.0,0.1819007,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 18.2%."
18,12.988018877154522,-430144.01,0.0,1,0,437143.41,0.0,1.0248618e-06,TRANSFER,LOW,APPROVE,"Flagged primarily because the transaction was a direct transfer, a type associated with higher fraud risk in this dataset and the account balances did not update consistently with the transaction amount. Model confidence: 0.0%."
18,12.322936770228283,-224792.34,0.0,1,0,224792.34,0.0,1.5742957e-06,TRANSFER,LOW,APPROVE,"Flagged primarily because the transaction was a direct transfer, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,13.252145635799868,-569289.22,0.0,1,0,569289.22,0.0,2.2209215e-05,TRANSFER,LOW,APPROVE,"Flagged primarily because the account balances did not update consistently with the transaction amount and the transaction was a direct transfer, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,10.1547803694724,-25712.73,-0.0099999999802093,1,0,25712.73,0.0,1.5057878e-06,TRANSFER,LOW,APPROVE,"Flagged primarily because the transaction was a direct transfer, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,11.772997180477468,-129701.31,0.0100000000093132,1,0,129701.31,0.0,1.1453334e-05,TRANSFER,LOW,APPROVE,"Flagged primarily because the transaction was a direct transfer, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,10.19335960024063,-26724.13,0.0,1,0,26724.13,0.0,4.301762e-05,TRANSFER,LOW,APPROVE,"Flagged primarily because the transaction was a direct transfer, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,12.500505368481589,-268471.93,-1.1641532182693479e-10,1,0,268471.93,0.0,1.0169125e-05,TRANSFER,LOW,APPROVE,"Flagged primarily because the transaction was a direct transfer, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,12.730083283707144,-337756.44,0.0,1,0,337756.44,0.0,2.2689374e-06,TRANSFER,LOW,APPROVE,"Flagged primarily because the transaction was a direct transfer, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,13.039750863939863,-460352.92,0.0,1,0,460352.92,0.0,4.7021527e-05,TRANSFER,LOW,APPROVE,"Flagged primarily because the transaction was a direct transfer, a type associated with higher fraud risk in this dataset and the account balances did not update consistently with the transaction amount. Model confidence: 0.0%."
18,14.16203691778896,-1414145.77,-9.313225746154783e-10,1,0,1414145.77,0.0,2.1161688e-05,TRANSFER,LOW,APPROVE,"Flagged primarily because the account balances did not update consistently with the transaction amount, the transaction was a direct transfer, a type associated with higher fraud risk in this dataset, and the transaction amount (₹1,414,145.77) is unusually large. Model confidence: 0.0%."
18,14.445985251261984,-1878501.08,0.0,1,0,1878501.08,0.0,3.519434e-05,TRANSFER,LOW,APPROVE,"Flagged primarily because the account balances did not update consistently with the transaction amount, the transaction was a direct transfer, a type associated with higher fraud risk in this dataset, and the transaction amount (₹1,878,501.08) is unusually large. Model confidence: 0.0%."
18,14.004112394121188,-1207559.05,0.0,1,0,1207559.05,0.0,1.5620515e-05,TRANSFER,LOW,APPROVE,"Flagged primarily because the account balances did not update consistently with the transaction amount and the transaction was a direct transfer, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,5.619712222859976,0.0,274.81,0,0,274.81,0.0,4.812875e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,9.661578398529803,-11947.36,15701.55,0,0,15701.55,0.0,5.78338e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,7.084586793032453,-1192.43,1192.43,0,0,1192.43,0.0,3.7505737e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,7.908905407329267,0.0,2720.41,0,0,2720.41,0.0,2.0757764e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,11.894504560099074,-136246.55,0.0,0,1,146458.55,0.0,0.0010003885,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.1%."
18,9.406614964175027,-1262.6100000000006,12167.61,0,0,12167.61,0.0,3.2771138e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,10.211666863926732,-15144.9,27217.9,0,0,27217.9,0.0,3.680607e-06,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,7.1076547680501605,0.0,1220.28,0,0,1220.28,0.0,2.8793752e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,12.698927436838929,-312326.56,0.0,0,1,327395.56,0.0,0.0003897612,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,7.896894904989558,0.0,2687.92,0,0,2687.92,0.0,2.0757764e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,12.71148187709181,-663063.5,663063.5,0,0,331531.75,0.0,9.713632e-07,CASH_IN,LOW,APPROVE,Flagged primarily because the account balances did not update consistently with the transaction amount. Model confidence: 0.0%.
18,10.83591341032367,-50684.3,0.0100000000093132,0,1,50812.3,0.0,1.9320116e-05,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,6.751463976322433,0.0,854.31,0,0,854.31,0.0,2.0142922e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,12.400009730125388,-201471.29,0.0,0,1,242802.98,0.0,0.000106417094,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,11.49695765535269,-196829.8,98414.9,0,0,98414.9,0.0,3.5781844e-07,CASH_IN,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,12.292301257906171,-217849.1,0.0,0,1,218010.1,0.0,0.00023946026,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,12.142421570495795,-375330.94,322889.2,0,0,187665.47,0.0,5.1090602e-08,CASH_IN,LOW,APPROVE,Flagged primarily because the account balances did not update consistently with the transaction amount. Model confidence: 0.0%.
18,13.470715454172154,-501290.01,0.0,1,0,708364.48,0.0,6.657126e-06,TRANSFER,LOW,APPROVE,"Flagged primarily because the transaction was a direct transfer, a type associated with higher fraud risk in this dataset and the account balances did not update consistently with the transaction amount. Model confidence: 0.0%."
18,11.437798065684886,-50192.53,-112386.82,0,1,92761.53,0.0,0.00010930098,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,12.50621786678478,-213675.97,-948830.31,0,1,270009.97,0.0,0.0002788547,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,9.756995966821346,0.0,17273.66,0,0,17273.66,0.0,3.0297617e-06,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,12.023731608546482,-155217.42,-191078.12,0,1,166662.42,0.0,2.9418175e-05,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,2.574899688314705,0.0,12.13,0,0,12.13,0.0,4.4762507e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,12.659373430683798,-314258.48,0.0,0,1,314698.48,0.0,0.0009543857,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.1%."
18,10.30879764863055,-29994.35,29994.35,0,0,29994.35,0.0,1.2329059e-06,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,12.847665050150828,-337789.65,0.0,0,1,379899.65,0.0,0.00015463901,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,9.74686298182936,-7807.5,17099.5,0,0,17099.5,0.0,2.1132594e-06,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,10.853429478082347,-103420.38,103420.38000000012,0,0,51710.19,0.0,4.052391e-07,CASH_IN,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,11.690737452256323,-238918.14,210784.77,0,0,119459.07,0.0,9.35093e-07,CASH_IN,LOW,APPROVE,Flagged primarily because the account balances did not update consistently with the transaction amount. Model confidence: 0.0%.
18,11.312770758585035,-163718.82,163681.82,0,0,81859.41,0.0,9.451722e-07,CASH_IN,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,12.598032432622292,-280002.64,123040.95999999996,0,1,295974.64,0.0,1.3828427e-05,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,8.52875805978614,-5057.16,5057.16,0,0,5057.16,0.0,2.4451697e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,8.626573018807866,-5576.93,5576.93,0,0,5576.93,0.0,2.4451697e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,11.534167056460662,-101974.88,0.0,0,1,102145.88,0.0,0.002418797,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.2%."
18,12.510226989618443,-271094.65,0.0,0,1,271094.65,0.0,0.000523348,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.1%."
18,11.789578920176968,-0.0099999999511055,-129166.81,0,1,131869.93,0.0,2.0703981e-05,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,9.033562619860668,0.0,8378.66,0,0,8378.66,0.0,9.91082e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,12.527187559830343,-264196.8,0.0,0,1,275731.8,0.0,0.0012559419,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.1%."
18,11.440517877112622,-87766.17,0.0,0,1,93014.17,0.0,0.006945719,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.7%."
18,9.456431404267905,0.0,12789.16,0,0,12789.16,0.0,1.1865757e-06,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,12.579844486045513,-581280.22,344813.09,0,0,290640.11,0.0,2.3875867e-07,CASH_IN,LOW,APPROVE,Flagged primarily because the account balances did not update consistently with the transaction amount. Model confidence: 0.0%.
18,11.92872525250243,-303114.48,303114.48,0,0,151557.24,0.0,8.771221e-08,CASH_IN,LOW,APPROVE,Flagged primarily because the account balances did not update consistently with the transaction amount. Model confidence: 0.0%.
18,12.760001579635544,-696028.5,696028.5,0,0,348014.25,0.0,2.8563792e-07,CASH_IN,LOW,APPROVE,Flagged primarily because the account balances did not update consistently with the transaction amount. Model confidence: 0.0%.
18,9.753700753780842,0.0100000000093132,17216.83,0,0,17216.83,0.0,5.1744234e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,9.641306221335329,-0.0100000000093132,15386.43,0,0,15386.43,0.0,5.78338e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,9.976797956717055,0.0,21520.29,0,0,21520.29,0.0,2.3974467e-06,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,9.184765094952148,0.0,9746.49,0,0,9746.49,0.0,5.7261775e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,8.554957074677212,-1.1641532182693479e-10,5191.43,0,0,5191.43,0.0,2.4451697e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,8.881124940933601,0.0,7193.88,0,0,7193.88,0.0,2.3213829e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,7.58220372273454,1.1641532182693479e-10,1961.95,0,0,1961.95,0.0,4.7619864e-08,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,8.540644057748985,-1.1641532182693479e-10,5117.64,0,0,5117.64,0.0,2.4451697e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,7.908420246977934,1.1641532182693479e-10,2719.09,0,0,2719.09,0.0,3.389408e-08,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,9.379121502897588,0.0,11837.61,0,0,11837.61,0.0,1.0125509e-06,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,9.737434739160792,0.0,16939.03,0,0,16939.03,0.0,2.0697269e-06,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,10.563934872892991,-5.820766091346741e-11,38712.16,0,0,38712.16,0.0,1.3935975e-06,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,11.215927063310422,-148607.04,-51762.53,0,0,74303.52,0.0,5.6421345e-07,CASH_IN,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,8.298166155613867,0.0,4015.5,0,0,4015.5,0.0,2.3213829e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,8.411541522266235,-2625.69,4497.69,0,0,4497.69,0.0,2.4451697e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,12.102494873174107,-360640.36,360640.3700000001,0,0,180320.18,0.0,5.1090602e-08,CASH_IN,LOW,APPROVE,Flagged primarily because the account balances did not update consistently with the transaction amount. Model confidence: 0.0%.
18,9.453245765441144,0.0,12748.48,0,0,12748.48,0.0,1.1865757e-06,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,8.4129209722378,0.0,4503.9,0,0,4503.9,0.0,2.3213829e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,8.891778384998194,0.0,7270.94,0,0,7270.94,0.0,2.3213829e-07,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,12.314177262695203,-445663.72,222831.86,0,0,222831.86,0.0,9.581571e-08,CASH_IN,LOW,APPROVE,Flagged primarily because the account balances did not update consistently with the transaction amount. Model confidence: 0.0%.
18,9.138941035845892,-5.820766091346741e-11,9309.9,0,0,9309.9,0.0,2.0101437e-05,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,9.382994516225144,0.0,11883.55,0,0,11883.55,0.0,1.0125509e-06,PAYMENT,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
18,12.432138363154614,-234525.61,0.0,0,1,250730.61,0.0,0.003647766,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.4%."
18,10.845511721009032,-18697.370000000003,-288314.60999999987,0,1,51302.37,0.0,1.2334644e-05,CASH_OUT,LOW,APPROVE,"Flagged primarily because the transaction was a cash-out, a type associated with higher fraud risk in this dataset. Model confidence: 0.0%."
18,11.73994732590977,-250969.46,601470.04,0,0,125484.73,0.0,9.474422e-08,CASH_IN,LOW,APPROVE,Flagged primarily because the account balances did not update consistently with the transaction amount. Model confidence: 0.0%.
18,11.973428985747486,-316972.36,316972.3500000001,0,0,158486.18,0.0,1.3205537e-08,CASH_IN,LOW,APPROVE,Flagged primarily because the account balances did not update consistently with the transaction amount. Model confidence: 0.0%.
18,9.71419817677537,-33099.880000000005,33099.87999999989,0,0,16549.94,0.0,1.1130893e-06,CASH_IN,LOW,APPROVE,No strong risk indicators identified; transaction pattern is consistent with typical account activity.
